Date,Close/Last,Volume,Open,High,Low
03/10/2023,$10.23,1346330,$10.22,$10.465,$9.94
03/09/2023,$10.27,998039,$10.73,$10.88,$10.255
03/08/2023,$10.69,944709,$10.76,$10.84,$10.50
03/07/2023,$10.81,1390855,$11.03,$11.20,$10.735
03/06/2023,$11.03,1536965,$11.43,$11.535,$10.9014
03/03/2023,$11.38,1622192,$10.56,$11.435,$10.50
03/02/2023,$10.54,1637562,$10.84,$10.84,$10.40
03/01/2023,$11.11,3766449,$10.08,$11.55,$10.08
02/28/2023,$9.79,1991266,$9.93,$10.3399,$9.76
02/27/2023,$10.08,1111674,$10.16,$10.21,$9.91
02/24/2023,$9.98,1695098,$10.37,$10.37,$9.7367
02/23/2023,$10.65,963809,$10.84,$10.876,$10.265
02/22/2023,$10.69,1234360,$10.51,$10.79,$10.42
02/21/2023,$10.46,911747,$10.82,$10.97,$10.45
02/17/2023,$11.16,1126845,$11.27,$11.32,$10.875
02/16/2023,$11.40,1301330,$11.42,$11.79,$11.0899
02/15/2023,$11.66,1147697,$11.06,$11.70,$11.01
02/14/2023,$11.07,1045631,$10.79,$11.15,$10.59
02/13/2023,$10.97,600265,$10.75,$10.99,$10.56
02/10/2023,$10.75,886862,$10.64,$10.84,$10.465
02/09/2023,$10.81,861876,$11.42,$11.48,$10.775
02/08/2023,$11.21,918207,$11.38,$11.64,$11.2001
02/07/2023,$11.48,1070233,$11.21,$11.54,$10.9808
02/06/2023,$11.31,1203734,$11.66,$11.78,$11.28
02/03/2023,$12.02,2262231,$11.97,$12.67,$11.58
02/02/2023,$12.39,2329350,$11.50,$12.42,$11.49
02/01/2023,$11.01,1343900,$10.83,$11.14,$10.53
01/31/2023,$10.86,1042402,$10.30,$10.87,$10.30
01/30/2023,$10.30,850991,$10.54,$10.74,$10.23
01/27/2023,$10.76,2405220,$10.10,$10.96,$10.10
01/26/2023,$10.13,1448281,$9.82,$10.19,$9.48
01/25/2023,$9.60,798666,$9.57,$9.75,$9.42
01/24/2023,$9.81,771004,$9.92,$10.17,$9.73
01/23/2023,$10.05,1461006,$9.55,$10.13,$9.53
01/20/2023,$9.45,1059468,$9.15,$9.525,$8.9501
01/19/2023,$9.03,1030099,$9.20,$9.255,$9.02
01/18/2023,$9.38,1320237,$9.60,$9.94,$9.36
01/17/2023,$9.47,1245966,$9.19,$9.51,$9.10
01/13/2023,$9.14,788912,$8.88,$9.19,$8.83
01/12/2023,$9.00,970888,$9.00,$9.025,$8.72
01/11/2023,$8.94,1036715,$8.80,$8.96,$8.645
01/10/2023,$8.69,1069720,$8.41,$8.785,$8.38
01/09/2023,$8.43,1449105,$8.42,$8.66,$8.39
01/06/2023,$8.23,895126,$8.11,$8.315,$7.83
01/05/2023,$8.01,864342,$7.83,$8.02,$7.63
01/04/2023,$7.93,1155106,$7.67,$7.9404,$7.555
01/03/2023,$7.49,1205367,$7.60,$7.66,$7.295
12/30/2022,$7.40,1382548,$7.14,$7.43,$7.11
12/29/2022,$7.28,1227372,$7.14,$7.30,$7.13
12/28/2022,$7.04,1390416,$7.11,$7.195,$7.02
12/27/2022,$7.16,1027924,$7.31,$7.375,$7.12
12/23/2022,$7.41,932771,$7.40,$7.50,$7.21
12/22/2022,$7.43,1545566,$7.49,$7.51,$7.16
12/21/2022,$7.64,1360602,$7.42,$7.65,$7.42
12/20/2022,$7.42,1179254,$7.50,$7.63,$7.361
12/19/2022,$7.56,1753067,$8.21,$8.21,$7.5514
12/16/2022,$8.27,8014657,$8.14,$8.335,$8.06
12/15/2022,$8.27,1874674,$8.89,$8.96,$8.265
12/14/2022,$9.13,1061427,$9.16,$9.28,$8.965
12/13/2022,$9.21,1183638,$9.64,$9.94,$9.15
12/12/2022,$9.17,927139,$9.16,$9.39,$9.10
12/09/2022,$9.26,775412,$9.39,$9.50,$9.24
12/08/2022,$9.51,991885,$9.30,$9.765,$9.1915
12/07/2022,$9.21,872634,$9.27,$9.46,$9.15
12/06/2022,$9.42,882367,$9.72,$9.755,$9.345
12/05/2022,$9.74,913061,$10.07,$10.22,$9.695
12/02/2022,$10.18,1160027,$10.00,$10.27,$9.80
12/01/2022,$10.13,922371,$10.13,$10.3627,$10.01
